id,name,path
299,腕時計(アナログ),1/14/1
300,腕時計(デジタル),1/14/2
301,ラバーベルト,1/14/3
302,レザーベルト,1/14/4
303,金属ベルト,1/14/5
304,その他,1/14/6
305,前髪ウィッグ,1/15/1
306,ロングストレート,1/15/2
307,ロングカール,1/15/3
308,ショートストレート,1/15/4
309,ショートカール,1/15/5
310,その他,1/15/6
311,浴衣,1/16/1
312,着物,1/16/2
313,振袖,1/16/3
314,長襦袢/半襦袢,1/16/4
315,水着セパレート,1/16/5
316,水着ワンピース,1/16/6
317,水着スポーツ用,1/16/7
318,その他,1/16/8
319,スカートスーツ上下,1/17/1
320,パンツスーツ上下,1/17/2
321,ドレス,1/17/3
322,パーティーバッグ,1/17/4
323,シューズ,1/17/5
324,ウェディング,1/17/6
325,その他,1/17/7
326,トップス,1/18/1
327,アウター,1/18/2
328,インナー,1/18/3
329,ワンピース,1/18/4
330,パンツ/スパッツ,1/18/5
331,スカート,1/18/6
332,パジャマ,1/18/7
333,授乳服,1/18/8
334,その他,1/18/9
335,コスプレ,1/19/1
336,下着,1/19/2
337,その他,1/19/3
338,Tシャツ/カットソー(半袖/袖なし),2/1/1
339,Tシャツ/カットソー(七分/長袖),2/1/2
340,シャツ,2/1/3
341,ポロシャツ,2/1/4
342,ニット/セーター,2/1/5
343,パーカー,2/1/6
344,カーディガン,2/1/7
345,スウェット,2/1/8
346,ジャージ,2/1/9
347,ベスト,2/1/10
348,その他,2/1/11
349,テーラードジャケット,2/2/1
350,ノーカラージャケット,2/2/2
351,Gジャン/デニムジャケット,2/2/3
352,レザージャケット,2/2/4
353,ダウンジャケット,2/2/5
354,ライダースジャケット,2/2/6
355,ミリタリージャケット,2/2/7
356,ナイロンジャケット,2/2/8
357,フライトジャケット,2/2/9
358,ダッフルコート,2/2/10
359,ピーコート,2/2/11
360,ステンカラーコート,2/2/12
361,トレンチコート,2/2/13
362,モッズコート,2/2/14
363,チェスターコート,2/2/15
364,スタジャン,2/2/16
365,スカジャン,2/2/17
366,ブルゾン,2/2/18
367,マウンテンパーカー,2/2/19
368,ダウンベスト,2/2/20
369,ポンチョ,2/2/21
370,カバーオール,2/2/22
371,デニム/ジーンズ,2/3/1
372,ワークパンツ/カーゴパンツ,2/3/2
373,スラックス,2/3/3
374,チノパン,2/3/4
375,ショートパンツ,2/3/5
376,ペインターパンツ,2/3/6
377,サルエルパンツ,2/3/7
378,オーバーオール,2/3/8
379,その他,2/3/9
380,スニーカー,2/4/1
381,サンダル,2/4/2
382,ブーツ,2/4/3
383,モカシン,2/4/4
384,ドレス/ビジネス,2/4/5
385,長靴/レインシューズ,2/4/6
386,デッキシューズ,2/4/7
387,その他,2/4/8
388,ショルダーバッグ,2/5/1
389,トートバッグ,2/5/2
390,ボストンバッグ,2/5/3
391,リュック/バックパック,2/5/4
392,ウエストポーチ,2/5/5
393,ボディーバッグ,2/5/6
394,ドラムバッグ,2/5/7
395,ビジネスバッグ,2/5/8
396,トラベルバッグ,2/5/9
397,メッセンジャーバッグ,2/5/10
398,エコバッグ,2/5/11
399,その他,2/5/12
400,スーツジャケット,2/6/1
401,スーツベスト,2/6/2
402,スラックス,2/6/3
403,セットアップ,2/6/4
404,その他,2/6/5
405,キャップ,2/7/1
406,ハット,2/7/2
407,ニットキャップ/ビーニー,2/7/3
408,ハンチング/ベレー帽,2/7/4
409,キャスケット,2/7/5
410,サンバイザー,2/7/6
411,その他,2/7/7
412,ネックレス,2/8/1
413,ブレスレット,2/8/2
414,バングル/リストバンド,2/8/3
415,リング,2/8/4
416,ピアス(片耳用),2/8/5
417,ピアス(両耳用),2/8/6
418,アンクレット,2/8/7
419,その他,2/8/8
420,長財布,2/9/1
421,折り財布,2/9/2
422,マネークリップ,2/9/3
423,コインケース/小銭入れ,2/9/4
424,名刺入れ/定期入れ,2/9/5
425,キーケース,2/9/6
426,キーホルダー,2/9/7
427,ネクタイ,2/9/8
428,手袋,2/9/9
429,ハンカチ,2/9/10
430,ベルト,2/9/11
431,マフラー,2/9/12
432,ストール,2/9/13
433,バンダナ,2/9/14
434,ネックウォーマー,2/9/15
435,サスペンダー,2/9/16
436,ウォレットチェーン,2/9/17
437,サングラス/メガネ,2/9/18
438,モバイルケース/カバー,2/9/19
439,手帳,2/9/20
440,ストラップ,2/9/21
441,ネクタイピン,2/9/22
442,カフリンクス,2/9/23
443,イヤマフラー,2/9/24
444,傘,2/9/25
445,レインコート,2/9/26
446,ミラー,2/9/27
447,タバコグッズ,2/9/28
448,その他,2/9/29
449,腕時計(アナログ),2/10/1
450,腕時計(デジタル),2/10/2
451,ラバーベルト,2/10/3
452,レザーベルト,2/10/4
453,金属ベルト,2/10/5
454,その他,2/10/6
455,一般水着,2/11/1
456,スポーツ用,2/11/2
457,アクセサリー,2/11/3
458,その他,2/11/4
459,トランクス,2/12/1
460,ボクサーパンツ,2/12/2
461,その他,2/12/3
